id,championship_id,circuit_id,name,round_number,season,start_date,end_date,is_confirmed,is_cancelled,metadata,created_at,updated_at
21995847-3fed-4936-a694-31440fdb96bd,d36e796d-42be-46c4-bd15-1beb5f08dde9,354b5487-8d7a-4606-9552-dfc30559aeef,Chevrolet Detroit Grand Prix,8,2026,2026-05-29,2026-05-31,true,false,{},2026-02-08 20:10:40.566423+00,2026-02-08 20:10:40.566423+00
24a141ff-cb6f-43a0-85eb-9b14bee7a19e,d36e796d-42be-46c4-bd15-1beb5f08dde9,8f393b68-bf5a-45a4-abfa-09fd7203ebc5,Milwaukee Mile Race 2,17,2026,2026-08-28,2026-08-30,true,false,{},2026-02-08 20:59:00.372242+00,2026-02-08 20:59:00.372242+00
24d699c3-4ed6-4229-8250-300fab78122d,e21003ed-3d72-42af-b8b5-56e61e60ebd5,73840a8f-72aa-4b7e-a2ae-3ff303ec2bcd,Mobil 1 Twelve Hours of Sebring,2,2026,2026-03-18,2026-03-21,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
2567b10b-58aa-485c-8f51-1baf806ac780,59d39d6c-f8a5-4096-9044-54268ef8b1ea,a26585a6-ea36-43a8-9ea6-63a80fc3a681,Brands Hatch,2,2026,2026-05-02,2026-05-03,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
257e66a9-ee2b-4b27-b09b-d4d56114798b,e6b50f04-9ffe-479b-bf96-89560b99131b,d85241bd-a6e4-49a4-ba96-aee001e9afab,Spanish Grand Prix,9,2026,2026-06-12,2026-06-14,true,false,"{""has_sprint"":false}",2025-12-26 16:23:55.181103+00,2025-12-26 16:34:24.983573+00
268cd7a2-09c4-4c58-bafb-2710f48ef30a,e0d18f98-a49d-454f-80c5-3f191d394aec,161baa93-7ae8-41b7-b54f-35b3679c1e82,Lone Star Le Mans,6,2026,2026-09-04,2026-09-06,true,false,{},2025-12-26 18:44:13.158926+00,2025-12-26 18:44:13.158926+00
2c23de6e-a9c2-4b24-afcd-5914f28ae0c5,4510b607-ecca-4c02-875b-ae25ab2a9784,8ba47861-b6b9-4cc4-a066-cd946aaed252,Wurth 400 by LIQUI MOLY,12,2026,2026-05-01,2026-05-03,true,false,"{""is_non_points"":false}",2025-12-26 18:33:34.147066+00,2026-02-14 12:08:38.29887+00
2c39c99e-c654-4a0e-9094-9aedc1decaed,e6b50f04-9ffe-479b-bf96-89560b99131b,6fc9f794-4624-4549-a3e5-43e39c02b90f,Qatar Grand Prix,23,2026,2026-11-27,2026-11-29,true,false,"{""has_sprint"":false}",2025-12-26 16:23:59.809299+00,2025-12-26 16:34:30.148149+00
2c968c6c-221d-4517-abcd-1cc3544a32b0,d36e796d-42be-46c4-bd15-1beb5f08dde9,3068a4f5-763e-4381-acb1-7922364dbc75,Ontario Honda Dealers Indy at Markham,14,2026,2026-08-14,2026-08-16,true,false,{},2026-02-08 20:36:26.513746+00,2026-02-08 20:42:24.004497+00
2ca26f2f-6691-4407-bbf3-68803dfaeb99,e21003ed-3d72-42af-b8b5-56e61e60ebd5,e2931f9b-016c-4adb-af40-6db48378c5c1,Rolex 24 At Daytona,1,2026,2026-01-22,2026-01-25,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
2e62a918-56ab-4a67-aa1b-9f7a58c84815,e6b50f04-9ffe-479b-bf96-89560b99131b,ba0806dd-c994-4e83-a155-1656d2e3bb22,Canadian Grand Prix,7,2026,2026-05-22,2026-05-24,true,false,"{""has_sprint"":true}",2025-12-26 16:23:54.663304+00,2025-12-26 16:34:24.192369+00
32986060-c6a8-460b-833e-bf498a821e22,4510b607-ecca-4c02-875b-ae25ab2a9784,218a3ee4-a240-4e54-a965-6bd4aa65fcdf,Straight Talk Wireless 500,5,2026,2026-03-06,2026-03-08,true,false,"{""is_non_points"":false}",2025-12-26 18:33:31.976599+00,2026-02-14 11:41:47.895576+00
3312084c-8f25-4672-96c6-b0de6158640a,d36e796d-42be-46c4-bd15-1beb5f08dde9,9ec16b94-927e-4b00-8e6f-ecef15a4da1f,Acura Grand Prix of Long Beach,5,2026,2026-04-17,2026-04-19,true,false,{},2026-02-08 20:03:40.512014+00,2026-02-08 20:05:06.358445+00
3328f55c-2f9a-4668-bd0a-a6af301a6633,0d273401-4838-43fc-a908-cd5087ec6430,161baa93-7ae8-41b7-b54f-35b3679c1e82,Americas GP,3,2026,2026-03-27,2026-03-29,true,false,{},2025-12-26 18:47:28.040393+00,2025-12-26 18:47:28.040393+00
345cafb1-599e-4ef4-89a2-6d0df764ec36,4510b607-ecca-4c02-875b-ae25ab2a9784,6b899a08-61ec-4281-a6cd-8d73e5d4937b,NASCAR All-Star Race,14,2026,2026-05-15,2026-05-17,true,false,"{""is_non_points"":true}",2025-12-26 18:33:34.701541+00,2025-12-26 18:33:34.701541+00
349a097a-650c-4099-a21a-f003a0459766,0d273401-4838-43fc-a908-cd5087ec6430,6fc9f794-4624-4549-a3e5-43e39c02b90f,Qatar GP,4,2026,2026-04-10,2026-04-12,true,false,{},2025-12-26 18:47:28.304979+00,2025-12-26 18:47:28.304979+00
3bc19baf-6dd7-4b4e-9ba7-982b08087614,71b38069-2d64-4650-8457-fdcdff72ec85,cf556694-da73-49ac-928a-16e31d1d6c5e,4 Hours of Silverstone,5,2026,2026-09-11,2026-09-13,true,false,{},2025-12-26 18:44:15.952808+00,2025-12-26 18:44:15.952808+00
3c0de02b-bf6e-4acf-8122-e6ef3687a6a5,4510b607-ecca-4c02-875b-ae25ab2a9784,ff7233fa-bca4-4fba-a421-e2e1d828725e,Bass Pro Shops Night Race,31,2026,2026-09-17,2026-09-19,true,false,"{""is_non_points"":false}",2025-12-26 18:33:39.889792+00,2025-12-26 18:33:39.889792+00
3ef0dce2-40cc-4165-8cb7-dcc97006e17b,2d114ce9-fade-42d1-bc31-1da74faacf26,4959d37f-5e95-4fc2-9bb5-f8e34e806852,Motorsport Arena Oschersleben,5,2026,2026-07-24,2026-07-26,true,false,{},2026-02-08 18:07:54.623516+00,2026-02-08 18:07:54.623516+00
3efde245-961e-4add-b590-cebb5ed599e7,e0d18f98-a49d-454f-80c5-3f191d394aec,ab04ac3e-ede6-4a90-b8e9-4b7993dd40d0,8 Hours of Bahrain,8,2026,2026-11-05,2026-11-07,true,false,{},2025-12-26 18:44:13.684064+00,2025-12-26 18:44:13.684064+00
40dfa2df-8f58-4118-955d-3c7918b39b25,59d39d6c-f8a5-4096-9044-54268ef8b1ea,bb140525-015d-42f6-90b4-9e022b0c425e,Portimão,10,2026,2026-10-16,2026-10-18,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
41013faf-6ecd-4795-86b3-58a97182e72c,4510b607-ecca-4c02-875b-ae25ab2a9784,36c1ab80-d61d-49b0-8f74-ade21f5220a8,Autotrader 400,3,2026,2026-02-20,2026-02-22,true,false,"{""is_non_points"":false}",2025-12-26 18:33:31.469564+00,2026-02-13 21:19:04.369108+00
4328f7aa-3b22-4536-b1f8-681277ac10c4,0d273401-4838-43fc-a908-cd5087ec6430,b9062ce8-22b2-47f6-897a-0ce4aedbeb5b,Italian GP,8,2026,2026-05-29,2026-05-31,true,false,{},2025-12-26 18:47:29.445642+00,2025-12-26 18:47:29.445642+00
4500cca8-fd93-4b10-a616-a73f024bfb6f,2d114ce9-fade-42d1-bc31-1da74faacf26,2ca209e3-465c-405f-9a4d-8e9500ea46d8,Circuit Zandvoort,2,2026,2026-05-22,2026-05-24,true,false,{},2026-02-08 18:03:39.451467+00,2026-02-08 18:03:39.451467+00
45f28082-5ae0-4b67-8af6-938ec3f3292d,4510b607-ecca-4c02-875b-ae25ab2a9784,e2931f9b-016c-4adb-af40-6db48378c5c1,Coke Zero Sugar 400,28,2026,2026-08-28,2026-08-29,true,false,"{""is_non_points"":false}",2025-12-26 18:33:39.029122+00,2025-12-26 18:33:39.029122+00
48c83fce-48c6-4424-a7cc-3e4d4a6ba10f,4510b607-ecca-4c02-875b-ae25ab2a9784,fad2d8e2-37b9-4c7c-8fc3-89c8a9c4ece6,NASCAR Cup Series Race at New Hampshire,27,2026,2026-08-21,2026-08-23,true,false,"{""is_non_points"":false}",2025-12-26 18:33:38.760722+00,2026-02-14 12:13:37.220363+00
49812b30-74a5-4a76-a1ef-a333860da6a8,4510b607-ecca-4c02-875b-ae25ab2a9784,729c3a85-8d01-438d-b9d9-916e31f5b1b8,Quaker State 400 Available at Walmart,22,2026,2026-07-10,2026-07-12,true,false,"{""is_non_points"":false}",2025-12-26 18:33:37.143287+00,2026-02-14 12:12:36.333055+00
4b963d5a-900f-4e0f-8023-678444204e9a,50c0f5ce-fd98-480e-bef6-4f98b8af9846,f2a88b74-f9e5-43a6-9426-3edc0c501111,Berlin E-Prix,7,2026,2026-05-02,2026-05-03,true,false,{},2025-12-26 18:47:23.185682+00,2026-01-05 10:02:24.373848+00
4c1c2648-63d0-4077-8780-90facbfd5ea5,50c0f5ce-fd98-480e-bef6-4f98b8af9846,3d5e8c23-190f-46b4-a31c-482702eba6dd,Monaco E-Prix,9,2026,2026-05-16,2026-05-17,true,false,{},2025-12-26 18:47:23.708865+00,2026-01-05 10:02:24.373848+00
4deef487-96cf-45ba-936b-a33781f45fdb,59d39d6c-f8a5-4096-9044-54268ef8b1ea,2ca209e3-465c-405f-9a4d-8e9500ea46d8,Zandvoort,8,2026,2026-09-18,2026-09-20,true,false,{},2026-01-05 09:43:47.291758+00,2026-01-05 09:56:54.427103+00
50c3195d-0881-4219-8f3d-b6e1bc18eb7c,4510b607-ecca-4c02-875b-ae25ab2a9784,8f5d5a91-b270-46f2-9702-0d45076f84df,NASCAR Cup Series Championship,38,2026,2026-11-06,2026-11-08,true,false,"{""is_non_points"":false}",2025-12-26 18:33:42.250678+00,2025-12-26 18:33:42.250678+00
